"VendorID","tpep_pickup_datetime","tpep_dropoff_datetime","passenger_count","trip_distance","RatecodeID","store_and_fwd_flag","PULocationID","DOLocationID","payment_type","fare_amount","extra","mta_tax","tip_amount","tolls_amount","improvement_surcharge","total_amount"
"2","2019 Jan 29 02:13:01 PM","2019 Jan 29 02:21:47 PM","1","0.82","1","N","211","144","1","7","0","0.5","1.56","0","0.3","9.36"
"2","2019 Jan 29 01:55:44 PM","2019 Jan 29 02:08:49 PM","1","1.69","1","N","79","211","1","9.5","0","0.5","3.09","0","0.3","13.39"
"2","2019 Jan 29 09:10:23 AM","2019 Jan 29 09:16:47 AM","2","1.81","1","N","43","151","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2019 Jan 29 08:35:47 AM","2019 Jan 29 09:05:34 AM","2","2.04","1","N","74","41","2","18","0","0.5","0","0","0.3","18.8"
"2","2019 Jan 29 08:23:12 AM","2019 Jan 29 08:32:44 AM","2","2.18","1","N","141","74","2","9.5","0","0.5","0","0","0.3","10.3"
"2","2019 Jan 29 06:57:55 AM","2019 Jan 29 02:21:19 PM","1","2.61","1","N","239","162","2","15","0","0.5","0","0","0.3","15.8"
"2","2019 Jan 29 06:29:17 AM","2019 Jan 29 06:45:31 AM","1","1.45","1","N","163","50","1","11","0","0.5","2","0","0.3","13.8"
"2","2019 Jan 29 06:08:21 AM","2019 Jan 29 06:28:14 AM","1","1.53","1","N","143","237","1","12.5","0","0.5","3.99","0","0.3","17.29"
"2","2019 Jan 26 03:16:01 AM","2019 Jan 26 03:32:02 AM","1","0.8","1","N","230","186","1","10.5","0.5","0.5","2.36","0","0.3","14.16"
"2","2019 Jan 26 03:02:46 AM","2019 Jan 26 03:14:38 AM","1","1.73","1","N","237","230","2","9.5","0.5","0.5","0","0","0.3","10.8"
"2","2019 Jan 23 03:11:02 PM","2019 Jan 23 10:30:05 PM","1","1.09","1","N","237","162","1","11.5","0","0.5","2.46","0","0.3","14.76"
"2","2019 Jan 23 02:30:45 PM","2019 Jan 23 03:09:58 PM","1","3.75","1","N","249","237","1","23.5","0","0.5","6.08","0","0.3","30.38"
"2","2019 Jan 22 10:45:42 PM","2019 Jan 23 06:07:36 AM","1","5.64","1","N","239","231","2","19.5","0.5","0.5","0","0","0.3","20.8"
"2","2019 Jan 22 10:25:16 PM","2019 Jan 22 10:36:07 PM","6","3.61","1","N","48","24","1","12.5","0.5","0.5","2.76","0","0.3","16.56"
"2","2019 Jan 22 10:16:11 PM","2019 Jan 22 10:19:14 PM","6","0.59","1","N","234","164","2","4.5","0.5","0.5","0","0","0.3","5.8"
"2","2019 Jan 22 10:02:13 PM","2019 Jan 22 10:13:30 PM","6","2.56","1","N","141","234","1","10.5","0.5","0.5","2.36","0","0.3","14.16"
"2","2019 Jan 22 12:02:33 PM","2019 Jan 22 12:08:29 PM","1","0.72","1","N","4","148","1","5.5","0","0.5","1.13","0","0.3","9.38"
"2","2019 Jan 20 08:44:16 PM","2019 Jan 20 08:53:07 PM","2","1.24","1","N","114","79","2","7.5","0","0.5","0","0","0.3","8.3"
"2","2019 Jan 20 08:44:46 AM","2019 Jan 20 04:04:10 PM","5","8.82","1","N","138","141","1","26","0","0.5","8.14","5.76","0.3","40.7"
"2","2019 Jan 19 11:46:53 AM","2019 Jan 19 07:18:23 PM","1","1.73","1","N","186","162","2","18","0","0.5","0","0","0.3","18.8"
"2","2019 Jan 19 11:13:20 AM","2019 Jan 19 11:33:18 AM","1","1.29","1","N","162","100","1","12.5","0","0.5","2.66","0","0.3","15.96"
"2","2019 Jan 19 08:40:03 AM","2019 Jan 19 03:55:11 PM","1","1.9","1","N","237","239","1","10.5","0","0.5","1.2","0","0.3","12.5"
"2","2019 Jan 19 08:10:24 AM","2019 Jan 19 08:16:52 AM","1","0.76","1","N","163","142","1","6","0","0.5","1.36","0","0.3","8.16"
"2","2019 Jan 19 07:58:42 AM","2019 Jan 19 08:08:37 AM","1","0.99","1","N","142","163","1","7.5","0","0.5","1.66","0","0.3","9.96"
"2","2019 Jan 19 07:51:46 AM","2019 Jan 19 07:56:40 AM","1","0.69","1","N","237","142","1","5.5","0","0.5","0","0","0.3","6.3"
"2","2019 Jan 18 09:07:09 AM","2019 Jan 18 09:32:00 AM","5","8.21","1","N","138","263","1","26.5","1","0.5","8.52","5.76","0.3","42.58"
"2","2019 Jan 18 08:20:01 AM","2019 Jan 18 03:55:31 PM","1","6.06","1","N","237","231","1","25.5","0","0.5","5.26","0","0.3","31.56"
"2","2019 Jan 18 08:08:37 AM","2019 Jan 18 08:18:19 AM","1","1.66","1","N","142","237","1","8.5","0","0.5","2.32","0","0.3","11.62"
"2","2019 Jan 16 03:05:00 PM","2019 Jan 16 03:59:50 PM","5","16.78","2","N","132","164","1","52","4.5","0.5","11","5.76","0.3","74.06"
"2","2019 Jan 13 03:25:51 PM","2019 Jan 13 03:40:05 PM","2","3.47","1","N","162","7","1","12.5","0.5","0.5","2.76","0","0.3","16.56"
"2","2019 Jan 13 03:01:15 PM","2019 Jan 13 03:08:10 PM","2","1.05","1","N","114","107","1","6.5","0.5","0.5","1","0","0.3","8.8"
"2","2019 Jan 12 01:49:57 PM","2019 Jan 12 01:54:07 PM","1","0.79","1","N","262","236","2","5","0.5","0.5","0","0","0.3","6.3"
"2","2019 Jan 12 01:36:49 PM","2019 Jan 12 01:44:45 PM","1","1.35","1","N","236","262","2","7.5","0.5","0.5","0","0","0.3","8.8"
"2","2019 Jan 12 01:26:28 PM","2019 Jan 12 01:33:36 PM","1","1.32","1","N","140","237","1","7","0.5","0.5","1.66","0","0.3","9.96"
"2","2019 Jan 12 12:32:19 AM","2019 Jan 12 08:14:24 AM","1","11.62","1","N","236","200","1","37.5","1","0.5","10.48","2.64","0.3","52.42"
"2","2019 Jan 10 07:11:34 AM","2019 Jan 10 02:30:48 PM","1","5.15","1","N","48","13","2","18","0.5","0.5","0","0","0.3","19.3"
"2","2019 Jan 10 06:22:07 AM","2019 Jan 10 06:29:06 AM","1","2","1","N","162","236","1","8.5","0.5","0.5","2.45","0","0.3","12.25"
"2","2019 Jan 08 06:24:07 AM","2019 Jan 08 01:53:33 PM","1","2.52","1","N","246","79","2","18.5","0","0.5","0","0","0.3","19.3"
"2","2019 Jan 08 06:04:05 AM","2019 Jan 08 06:22:20 AM","1","2.26","1","N","142","246","1","13.5","0","0.5","2.86","0","0.3","17.16"
"2","2019 Jan 08 05:34:33 AM","2019 Jan 08 05:42:35 AM","1","1.01","1","N","100","50","1","7","0","0.5","1.56","0","0.3","9.36"
"2","2019 Jan 08 12:57:26 AM","2019 Jan 08 01:18:15 AM","2","2.84","1","N","186","141","1","14.5","0","0.5","3.06","0","0.3","18.36"
"2","2019 Jan 08 12:38:28 AM","2019 Jan 08 12:54:37 AM","2","2.07","1","N","229","186","2","12","0","0.5","0","0","0.3","12.8"
"2","2019 Jan 08 12:27:41 AM","2019 Jan 08 12:37:27 AM","2","1.43","1","N","263","229","2","8.5","0","0.5","0","0","0.3","9.3"
"2","2019 Jan 07 10:46:09 PM","2019 Jan 08 06:05:23 AM","1","1.76","1","N","186","143","1","12.5","0","0.5","2.66","0","0.3","15.96"
"2","2019 Jan 04 07:43:17 PM","2019 Jan 05 02:59:57 AM","1","3.18","1","N","234","141","1","13","0.5","0.5","4.29","0","0.3","18.59"
"2","2019 Jan 04 07:07:07 PM","2019 Jan 04 07:29:00 PM","1","2.13","1","N","4","68","2","14","0.5","0.5","0","0","0.3","15.3"
"2","2019 Jan 02 06:34:26 AM","2019 Jan 02 02:23:44 PM","1","6.36","1","N","236","249","1","31","0","0.5","9.54","0","0.3","41.34"
"2","2019 Jan 02 12:38:17 AM","2019 Jan 02 01:10:21 AM","1","6.09","1","N","88","112","1","25","0.5","0.5","7.89","0","0.3","34.19"
"2","2018 Dec 31 11:53:59 PM","2019 Jan 01 11:34:21 PM","1","1.13","1","N","234","246","1","14.5","0.5","0.5","0","0","0.3","15.8"
"2","2018 Dec 31 11:52:41 PM","2019 Jan 01 11:41:00 PM","1","0.95","1","N","163","161","2","8","0.5","0.5","0","0","0.3","9.3"
"2","2018 Dec 31 11:43:39 PM","2019 Jan 01 11:39:23 PM","4","0.51","1","N","79","4","2","4","0.5","0.5","0","0","0.3","5.3"
"2","2018 Dec 31 11:37:35 PM","2019 Jan 01 11:34:17 PM","1","2.53","1","N","237","137","1","10","0.5","0.5","2.26","0","0.3","13.56"
"2","2018 Dec 31 11:30:16 PM","2019 Jan 01 11:27:48 PM","2","1.3","1","N","255","256","2","7.5","0.5","0.5","0","0","0.3","8.8"
